node,Type,Location,lon,lat,n_msg,mean_Topic1_Info_Distribution,mean_Topic2_Mobilization,mean_Topic3_CTs,mean_Topic4_Covid_Politics,mean_Topic5_Covid_Medical_Discussion
QUERDENKEN714Marbach,Channel,Marbach am Neckar,9.256396,48.9402085,208,0.250090372,0.198421697,0.19908758,0.161495509,0.173059792
QUERDENKEN_30,Channel,Berlin,13.3888599,52.5170365,5,0.762178474,0.01147639,0.072342433,0.064288469,0.089312375
QUERDENKEN_5221,Channel,Herford,8.6711118,52.1152245,4,0.310329394,0.173954496,0.022227104,0.040024798,0.451981186
QUERDENKEN_5231,Channel,Detmold,8.8791526,51.936284,1,0.018318555,0.00573932,0.022776138,0.010294158,0.941980165
QUERDENKEN_621,Channel,Mannheim,8.4673098,49.4892913,120,0.279664734,0.145167415,0.163560243,0.211453239,0.186981118
QUERDENKEN_711,Channel,Stuttgart,9.1800132,48.7784485,236,0.356750275,0.184318837,0.132483102,0.074580304,0.243238634
QUERDENKEN_7171,Channel,Schwäbisch Gmünd,9.7977584,48.7999036,28,0.283767717,0.118644402,0.16669686,0.213156465,0.216580531
QUERDENKEN_721,Channel,Karlsruhe,8.4034195,49.0068705,30,0.450915574,0.026992977,0.189531669,0.107562634,0.218969677
QUERDENKEN_722,Channel,Bühl Baden,8.1293359,48.6965484,71,0.268439586,0.128974565,0.196495567,0.153121926,0.251855188
QUERDENKEN_743,Channel,Balingen,8.8557862,48.2737512,7,0.49446385,0.012263474,0.026276864,0.010954309,0.454874694
QUERDENKEN_762,Channel,Lörrach,7.6607218,47.6120896,5,0.258414471,0.048598022,0.041481175,0.143555328,0.506121094
QUERDENKEN_791,Channel,Schwäbisch Hall,9.7369047,49.1123963,91,0.342695635,0.254075652,0.164278048,0.053467727,0.184327066
QUERDENKEN_794,Channel,Öhringen,9.5024397,49.2005034,31,0.488137415,0.297397435,0.017802039,0.005389196,0.190429627
QUERDENKEN_8331,Channel,Memmingen,10.181319,47.9867696,26,0.185739221,0.275200194,0.189098928,0.212465847,0.054824535
QUERDENKEN_881,Channel,Weilheim in Oberbayern,11.1416355,47.8395072,841,0.29119739,0.164623754,0.216800882,0.1371583,0.164588856
Querdenken089Demo,Channel,München,11.5753822,48.1371079,80,0.421658902,0.265886391,0.081844736,0.118221168,0.105553575
Querdenken381Rostock,Channel,Rostock,12.1286127,54.0924445,465,0.245827766,0.123498816,0.212517901,0.180264959,0.20830576
Querdenken_713_info,Channel,Ulm Donau,9.9977893,48.3951246,64,0.392221295,0.354087502,0.050268766,0.061211744,0.135626915
Querdenken_Brandenburg_Chat,Group,Brandenburg,13.2461296,52.8455492,386,0.309425214,0.168584172,0.204471824,0.145838346,0.155745678
QuerdenkerChat,Group,,,,6385,0.2585459,0.138133152,0.256018694,0.137364426,0.178218307
QuerdenkerZwickau,Group,Zwickau,12.4939267,50.7185043,1637,0.333105868,0.283782382,0.155905283,0.124656347,0.096531468
QuerdenkerZwickauNeuigkeitenWelt,Group,Zwickau,12.4939267,50.7185043,1831,0.248285609,0.132666669,0.239936534,0.196533613,0.173101561
RA_Ludwig,Channel,,,,295,0.340926653,0.152146566,0.151307169,0.141380703,0.21025175
qd334info,Channel,Strausberg,13.8833952,52.5814009,75,0.329282532,0.170955695,0.183314288,0.108497381,0.205178417
querdenken421,Channel,Bremen,8.8071646,53.0758196,84,0.367932628,0.259411978,0.117825046,0.075432113,0.155482354
querdenken511,Channel,Hannover,9.7385532,52.3744779,84,0.280333874,0.150936218,0.188025791,0.237426474,0.117169435
querdenken611_infokanal,Channel,Wiesbaden,8.2416556,50.0820384,158,0.413873817,0.314720895,0.13388271,0.031284956,0.101272438
querdenken911_termine,Channel,Nürnberg,11.077298,49.453872,70,0.43633351,0.330111483,0.075403076,0.061976153,0.093787114
querdenken_211,Channel,Düsseldorf,6.7763137,51.2254018,303,0.331623644,0.188348464,0.17993895,0.16949897,0.129042799
querdenken_234,Channel,Bochum,7.2196635,51.4818111,23,0.521860214,0.088645091,0.234234419,0.022809513,0.128725475
querdenken_2932,Channel,Arnsberg,8.0605908,51.4002384,9,0.634976977,0.012344019,0.052859489,0.007963248,0.290737609
querdenken_341,Channel,Leipzig,12.3747329,51.3406321,429,0.241804521,0.122293874,0.258656008,0.157037569,0.199815641
querdenken_441,Channel,Oldenburg,8.2146017,53.1389753,29,0.266861339,0.401807464,0.115291681,0.112689806,0.074042032
querdenken_571,Channel,Minden,8.9168852,52.2881045,15,0.287809442,0.257786635,0.224524047,0.037667049,0.049344989
querdenken_6051,Channel,Gelnhausen,9.190486,50.2028622,77,0.291200623,0.109529137,0.151316429,0.096356031,0.291885685
querdenken_681,Channel,Saarbrücken,6.997495427,49.2471081,11,0.165522572,0.015886832,0.162089379,0.409637929,0.246329033
querdenken_69,Channel,Frankfurt,8.6820917,50.1106444,34,0.633659695,0.159525043,0.134084079,0.024647866,0.042247978
querdenken_793,Channel,Bad Mergentheim,9.7730692,49.490532,501,0.242016441,0.12323022,0.182440296,0.232316598,0.211557372
querdenken_911,Channel,Nürnberg,11.077298,49.453872,224,0.25981126,0.142720489,0.174234636,0.202896576,0.212796566
querdenken_bremen,Group,Bremen,8.8071646,53.0758196,1001,0.265127967,0.135111262,0.193988801,0.156654296,0.203856695
querdenkenhameln,Group,Hameln,9.3561569,52.1039941,1632,0.32713244,0.171974231,0.210323422,0.101494772,0.165925246
querdenker6,Channel,,,,154,0.289497024,0.07787268,0.174422069,0.153969226,0.297806683
wahrheitstalk,Group,Leer Ostfriesland,7.4563035,53.2502087,67,0.298839555,0.196142534,0.165100336,0.101402331,0.236672784
711,Group,Stuttgart,9.1800132,48.7784485,379,0.250895553,0.203882553,0.108661745,0.059204217,0.376667623
querdenken_30info,Channel,Berlin,13.3888599,52.5170365,3,,,,,
721,Group,Karlsruhe,8.4034195,49.0068705,1490,0.376237802,0.185930411,0.15560952,0.113159646,0.148724022
8341,Group,Kaufbeuren,10.622246,47.8803788,373,0.29826457,0.119511668,0.190545151,0.145164072,0.172140049
querdenken_615,Channel,Darmstadt,8.651177,49.872775,115,0.518057531,0.218441001,0.108774407,0.051310758,0.097211183
querdenken_351,Channel,Dresden,13.7381437,51.0493286,372,0.209073663,0.08929961,0.153410142,0.158251954,0.386884768
querdenken_brandenburg,Channel,Potsdam,13.0591397,52.4009309,74,0.333477275,0.191904925,0.169337016,0.105009034,0.197027557
421,Group,Bremen,8.8071646,53.0758196,260,0.40456732,0.188070435,0.134964369,0.118418419,0.138490076
querdenken511demoterminekanal,Channel,Hannover,9.7385532,52.3744779,28,0.110593052,0.176660986,0.114668194,0.583115393,0.01422855
911,Group,Nürnberg,11.077298,49.453872,3383,0.298993394,0.166230309,0.198623492,0.139719614,0.172016592
211,Group,Düsseldorf,6.7763137,51.2254018,1470,0.356787962,0.143266838,0.187230552,0.138146445,0.153336398
234,Group,Bochum,7.2196635,51.4818111,2215,0.340696614,0.122157554,0.196233099,0.135093867,0.181472314
681,Group,Saarbrücken,6.997495427,49.2471081,811,0.347847855,0.130703112,0.197366385,0.119447794,0.200564556
querdenken491,Channel,Leer Ostfriesland,7.4563035,53.2502087,21,0.280217728,0.324382338,0.060246874,0.15023088,0.183371809
